"wait_group","no_show_rate","count"
Same day,4.64706187438410870800,38562
"1-3",22.88926746166950596300,14675
"4-7",25.20274129069103369500,17510
"8-14",30.46985446985446985400,12025
"15-28",32.24025242280820374100,8874
Over 28 days,32.98013245033112582800,18875
