"age_group","no_show_rate"
Child,21.90079625977061874500
Elderly,20.38369304556354916100
Middle Age,21.03202968106470608300
Older Adults,17.49984240055475004700
Senior,15.20597446398458202800
Young Adults,24.63984697232351007200
