"wait_group","no_show_rate"
Same day,4.64706187438410870800
"1-3",22.88926746166950596300
"4-7",25.20274129069103369500
"8-14",30.46985446985446985400
"15-28",32.85402490692001540600
Over 28 days,32.60208692794347218800
