"wait_group","no_show_rate"
Same day,4.64706187438410870800
"1-7",24.14789498213453472100
"8-14",30.46985446985446985400
"15-30",32.58879742098900466300
"31-60",34.15429192321622600500
"61-90",28.75399361022364217300
Over 90 days,25.80645161290322580600
