"age_group","no_show_rate"
"18-29",24.63984697232351007200
"30-54",20.37293923064610788000
"55-64",16.01844840641563984300
"65-79",15.24594619077815019500
"80+",16.32956573468173706100
Less than 18,21.90079625977061874500
